latitude,longitude
-2.613167,51.479491
-2.6116,51.478723
-2.611539,51.478669
-2.611476,51.478612
-2.611407,51.478557
-2.608711,51.477478
-2.608684,51.477485
-2.608633,51.477511
-2.608595,51.477546
-2.608053,51.477908
-2.60781,51.478115
-2.607787,51.478149
-2.60777,51.478172
-2.60775,51.478194
-2.60774,51.478201
-2.607736,51.478206
-2.607724,51.478233
-2.607723,51.478235
-2.607722,51.478236
-2.607722,51.478237
-2.607722,51.478237
-2.607722,51.478238
-2.607722,51.478238
-2.607722,51.478238
-2.607722,51.478238
-2.607722,51.478238
-2.607722,51.478239
-2.607722,51.478239
-2.607722,51.478239
-2.607721,51.478239
-2.607721,51.478239
-2.607721,51.478239
-2.607721,51.478239
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.47824
-2.607721,51.478241
-2.605682,51.477892
-2.60229,51.475948
-2.601317,51.475633
-2.601211,51.475584
-2.601116,51.47553
-2.601042,51.475476
-2.600959,51.475414
-2.600668,51.475201
-2.600051,51.474708
-2.598544,51.473578
-2.596227,51.471772
-2.596156,51.471701
-2.595879,51.471491
-2.595796,51.47143
-2.59571,51.471368
-2.59536,51.471106
-2.59529,51.471061
-2.595215,51.471013
-2.59516,51.470972
-2.595113,51.470941
-2.595074,51.470921
-2.595046,51.470906
-2.59503,51.470903
-2.595026,51.470898
-2.595022,51.470894
-2.595027,51.470891
-2.594987,51.470862
-2.59475,51.470673
-2.594739,51.470666
-2.594732,51.47066
-2.594704,51.470634
-2.594691,51.470627
-2.594686,51.470624
-2.594683,51.470622
-2.594682,51.470622
-2.594682,51.470621
-2.594679,51.470619
-2.593702,51.470141
-2.593559,51.469721
-2.593521,51.469662
-2.593456,51.469562
-2.593429,51.469527
-2.593377,51.469501
-2.593362,51.469496
-2.593351,51.46949
-2.59335,51.469486
-2.592131,51.468325
-2.59206,51.468268
-2.592005,51.468222
-2.591029,51.466747
-2.590805,51.466305
-2.589772,51.464383
-2.589565,51.464303
-2.588007,51.464678
-2.584164,51.465335
-2.584041,51.46534
-2.583909,51.465343
-2.583635,51.465369
-2.583524,51.465381
-2.583446,51.465394
-2.583365,51.4654
-2.583266,51.465398
-2.582508,51.465508
-2.509823,51.493111
-2.509821,51.493067
-2.51081,51.490315
-2.511119,51.489572
-2.511169,51.489485
-2.512281,51.488534
-2.512317,51.488493
-2.512356,51.488466
-2.512374,51.488458
-2.51236,51.488441
-2.512384,51.488404
-2.512424,51.488381
-2.512458,51.48836
-2.51249,51.488337
-2.512515,51.48832
-2.512535,51.488301
-2.512544,51.488278
-2.512534,51.488253
-2.512506,51.488232
-2.512463,51.488211
-2.512403,51.488187
-2.511839,51.487953
-2.511477,51.486805
-2.511477,51.486805
-2.511957,51.488039
-2.512036,51.488066
-2.512131,51.488091
-2.511787,51.488908
-2.51006,51.49229
-2.510052,51.492366
-2.510048,51.492427
-2.510061,51.492482
-2.510054,51.492521
-2.510039,51.492551
-2.510025,51.492571
-2.510024,51.492581
-2.509184,51.495198
-2.508796,51.496877
-2.50879,51.496988
-2.509083,51.498213
-2.509394,51.49905
-2.50945,51.499149
-2.509488,51.499255
-2.509709,51.499799
-2.50976,51.499902
-2.509806,51.500002
-2.509847,51.500097
-2.509895,51.500197
-2.510128,51.501011
-2.510148,51.50111
-2.510179,51.501198
-2.51022,51.501287
-2.510264,51.501367
-2.517605,51.503475
-2.518159,51.503569
-2.518426,51.503608
-2.518988,51.503694
-2.519246,51.503724
-2.519523,51.503757
-2.519771,51.503796
-2.520028,51.503839
-2.522645,51.504241
-2.522902,51.504288
-2.525874,51.504734
-2.525954,51.50474
-2.526001,51.50474
-2.526005,51.504737
-2.526034,51.504736
-2.527992,51.503214
-2.528415,51.502668
-2.528866,51.50211
-2.531508,51.499053
-2.539334,51.493574
-2.548684,51.489231
-2.548999,51.489085
-2.549924,51.488656
-2.550228,51.488516
-2.55883,51.483722
-2.559004,51.483521
-2.559179,51.483318
-2.559323,51.483116
-2.559473,51.482919
-2.559612,51.482711
-2.559728,51.482504
-2.559835,51.482302
-2.590609,51.465829
-2.590743,51.46591
-2.59076,51.466035
-2.590805,51.466151
-2.590865,51.466258
-2.590913,51.466371
-2.590999,51.466484
-2.591057,51.466597
-2.593011,51.468861
-2.593438,51.469326
-2.59349,51.469406
-2.593523,51.469466
-2.593544,51.469504
-2.593555,51.469518
-2.593562,51.469539
-2.595621,51.471348
-2.606984,51.478441
-2.606987,51.478433
-2.606987,51.478423
-2.607187,51.478435
-2.611524,51.479108
-2.611688,51.479126
-2.611789,51.479152
-2.613167,51.479491
-2.613167,51.479491
-2.612971,51.479392
-2.612374,51.479536
-2.612303,51.479557
-2.612195,51.479575
-2.612041,51.479554
-2.612033,51.479514
-2.612021,51.479484
-2.612012,51.479461
-2.612007,51.479437
-2.611999,51.479419
-2.611986,51.479402
-2.611973,51.479389
-2.611961,51.479375
-2.61195,51.47936
-2.611937,51.479347
-2.611925,51.479333
-2.61191,51.479321
-2.611898,51.479309
-2.611881,51.479299
-2.611871,51.479287
-2.611862,51.479276
-2.611862,51.479275
-2.611857,51.479265
-2.611853,51.479257
-2.611848,51.479251
-2.6117,51.478992
-2.61166,51.478935
-2.611613,51.478888
-2.611572,51.478827
-2.611527,51.478771
-2.608956,51.477713
-2.608262,51.47784
-2.607914,51.478064
-2.60785,51.47808
-2.60783,51.478078
-2.607936,51.478064
-2.607872,51.478066
-2.607811,51.478073
-2.607761,51.47807
-2.607744,51.478069
